id,body,source_author,source_title,score
pdc412093319e5b6,縁側の日あたりに美しく咲きほこっていた石楠花ももういつか見る影もなくなった。,伊藤野枝,出奔,0.6614
pde2700acbadac15,咲きみだれた小菊がどれにもかいてあるじゃねえか。,佐々木味津三,右門捕物帖,0.6683
pd9a3708277e1412,どんな場所に横たわっていたかということも、思い出せなかった。,佐々木直次郎,早すぎる埋葬,0.5573
pd0c639bdfda027d,岸には大勢の人が測量をしていたのだけれど、唯あれあれと言うだけで、誰一人助けに行く者がない。,佐々木邦,いたずら小僧日記,0.6423
pdd44afa88434cf2,併しどうしたのか、青だけは、そのままそこに残されていた。,佐左木俊郎,狂馬,0.6986
pd4271099914b276,朝、静かな時には遙かの磯から、岩打つ波の音が聞こえてくるのだ。,佐藤垢石,縁談,0.7189
pd9f86654b50bb82,いろいろな紅や黄色の花が方々にどっさり咲いている。,佐藤春夫,蝗の大旅行,0.7223
pd33ff6ec9f9672f,波濤の音、船の動く音、そのあいだにきこえるのは海つばめの鳴き声である。,佐藤紅緑,少年連盟,0.6348
pd99a8a925b28bc0,唯、くだけて話すから、落語のように聴こえるのだ。,佐野昌一,十年後のラジオ界,0.5904
pd98b99c247dc425,是んな事のあったのはほんとうに御志のつきたのではなく、只、世の中のそしりを思召ての御心であった。,作者不詳,「平家物語」ぬきほ（言文一致訳）,0.538
pd25ec092251e11d,ただ茫然として私は、眼前の不思議に雨に濡れて突立っていた。,児玉花外,菜の花物語,0.5587
pdd9b8921239af27,耳をすますと遠い遠い海のかなたが、深い深い海の底に、轟々と鳴り響いているような気がするのでした。,加能作次郎,少年と海,0.6705
pd509ccbfbb53d6b,高まった時はすぐ枕もとで聞こえるようだったが、低まった時は隣室からでも聞こえるように遠のいた。,北条民雄,いのちの初夜,0.737
pde17dccd69181e5,窓の外に雨はまだ絶望的に降りつのっていた。,原民喜,秋日記,0.7616
pd7e033b24e80d70,そして、これ以上自己紹介するかわりに、その旅券を開いたまま机の上に置いた。,原田義人,火夫,0.6233
pdfadeb2e32a6fd8,いや、むしろ近づきたい気もちさえあった。,吉川英治,梅颸の杖,0.543
pdc584fb31de48f1,こっちへ来るかと思うとあっちへゆく。,吉田甲子太郎,負けない少年,0.6264
pd772868b875a87c,隣室からルーレットの玉の転げる音が、悪魔の囁きのように妾の耳に響いて来ました。,吉行エイスケ,バルザックの寝巻姿,0.6001
pd8eede2b6f92240,どんなに烈しい内容を取り扱われる場合でも、いかにも淡々として、透明な感じを与える。,和辻哲郎,歌集『涌井』を読む,0.5181
pdf20c7b739e8535,折り折り遠くでほえる犬の声が聞こえた。,国木田独歩,鹿狩り,0.7053
pdff8c9e7d0036f7,薔薇と藤とが咲いているかと思うと、水葵の花が咲いていた。,国枝史郎,生死卍巴,0.7718
pd8068f53cf930a5,私がいくら金の衣服を着ていても、お前はすぐに錆さして役に立たなくしてしまう。,土原耕作,ペンとインキ,0.4644
pd95bb78c3a97cfd,点がだんだん伸びて角の形になりました。,土田耕平,峠,0.6811
pd5a7d286cbba1fc,咲子はそれを有り難くは思うが、どうも、打ちとけられない。,坂口安吾,明治開化　安吾捕物,0.6966
pd74bbf894fefe03,……私はその時はもう、われにもなく其処から数歩離れたところにまで行っていた。,堀辰雄,麦藁帽子,0.6455
pdd4733984bf4490,垣根に咲く豆菊の色は白いものばかりである。,夏目漱石,趣味の遺伝,0.7223
pd92cfae7eb4441a,畠の隅には、こぼれ生えの大根の花が咲き、紋白蝶が群り飛んでいる。,外村繁,澪標,0.7387
pdb660404ed3aa6f,俺が咲かせようと思えば花はいつでもこの通りに咲くのだ。,夢野久作,白髪小僧,0.7577
pd47ceaf0a104356,奥様に別れてから、私はまた薬品になった話を思い出した。,大倉燁子,素晴しい記念品,0.4258
pd9d9561f81a4cc6,そしてそこには数百万の人間の中から選ばれた四人しかいなかったのだ。,大庭武年,旅客機事件,0.555
pd31eda44fc52660,こいつらは恐ろしい Panlogists だ。,大杉栄,鎖工場,0.5681
pd5b4b27ec0abed4,とさつ場のようにむんむんとしたいきれ、悪臭がふんと鼻したにたれてくる。,大江鉄麿,市立共同宿泊所,0.4818
pd609f234d3f64e2,玉はその問いにこもっている非難に顔を赧らめて、恭しくこう答えた。,大谷正信,蠅のはなし,0.4661
pd455e87f2c6da0f,ジャズが鳴っていてかなり騒々しいのに、まるでこちらの窓を締めたように、その音は高く荒々しかった。,大阪圭吉,銀座幽霊,0.6366
pdb677437d35db15,そんな話をしていると、そこへまた思いがけなく森山君が寄って来て、やアやアというわけさ。,大鹿卓,金山揷話,0.5832
pd256d0d8905edae,まっかな花が、たくさん咲いていました。,太宰治,新樹の言葉,0.7459
pd35d284b800e579,でも山林のはずれのこのあたりには、そんなにいない。,妹尾アキ夫,第三者,0.5656
pdc8e837b4de7838,だから、さびしいので、そうして毎日ほとけ様ばかり拝んでいたのでしょう。,宇野浩二,でたらめ経,0.4935
pdd054f6fa886023,舟料理の葭すだれは、まき上げられたままゆうべの歓楽の名残をとどめている。,安西冬衛,大阪の朝,0.466
pd90e3b14a21bcad,しかし、この本の著者は忘れなかった。,宍戸儀一,フランケンシュタイン,0.4344
pde856111b407100,まるでなにかうすきみわるい物音にでも聴き入っているような風だった。,実吉捷郎,小フリイデマン氏,0.6332
pd8df1a14b3acb1a,一つのしゃりこうべの穴のところに、毎年のように紫色をした威勢のいい凜とした菫の花が咲いた。,室生犀星,しゃりこうべ,0.6768
pd6652358a895041,椰子蟹はまだこの深い底に行ってみたことはありませんでしたから、何がそこにあるか知りませんでした。,宮原晃一郎,椰子蟹,0.6214
pd662770dc385b6b,けれどもそうして働くには、どこへいって、どんな人に頼んだらいいのか清造にはわかりませんでした。,宮島資夫,清造と沼,0.621
pdb864eca9f9a9b7,低いところで白や紅の山茶花が咲き散る。,宮本百合子,牡丹,0.8233
pd788001816e99fc,そばには白い花が咲き、稗は黒い穂を出しました。,宮沢賢治,狼森と笊森、盗森,0.7392
pd2b47e59da1579d,おれは産前のありとあらゆる精力を尽したかのように、何ものかを切望していた。,富ノ沢麟太郎,あめんちあ,0.6127
pd36469bc3c78622,夜明けの薄明が窓から流れ込み、藤三はミチの硝子窓を敲く音に眼をさまし、引戸をあけた。,富田常雄,刺青,0.587
pd02ec2a4bcf6d21,足でつッぱることの出来ぬ身体は揺られるがまゝに動く。,富田木歩,小さな旅,0.4953
pdfefb6e7f82e39b,同じ素人の陳君も、旨くやってくれているとみえて、機関の音も軽快に響いてくる。,寺島柾史,怪奇人造島,0.5834
pdedb65177cb5393,もう一歩突きつめればすべての滑稽はあわれであり、さびであり、しおりでなければならない。,寺田寅彦,俳諧の本質的概論,0.5711
pdaad87119aa67b3,私はもう初め首の落っこって来た時から、恐くて恐くてぶるぶる顫えていました。,小山内薫,梨の実,0.5193
pd0f1c895e502f69,梅の花の匂いが流れてきて、白梅の咲いているのが、外燈の明りに見えた。,小山清,早春,0.7089
pd745687c91a3372,川の辺には、白い花や、桃色の花が咲いていました。,小川未明,木と鳥になった姉妹,0.826
pdc4f72059161c8e,どうにも出来ず、私はそこに立っていた。,小林多喜二,党生活者,0.8021
pdbf050a588614a4,いや、嵐を呼ぶ、海鳥の泣き狂う声さえ聞こえないではないか。,小栗虫太郎,紅毛傾城,0.6686
pd6b161be60e6820,私もまだほかにも心当りがあるから、その方へも談して見ましょう。,小栗風葉,深川女房,0.5607
pd0d15156abbac7d,囘龍は水の音を聴いていると、渇きを覚えた。,小泉八雲,ろくろ首,0.6408
pd2020671de866fa,巨大なガラス窓が、倉庫の闇の中へ微量の光線を供給している。,小舟勝二,扉は語らず,0.5162
pd4d7d3b182023cd,雨はまだ頻に降っていて、窓を打つ水滴が砕けては流れた。,小酒井不木,猫と村正,0.7323
pd0a3db82961c2f0,よし子さんが、まくらもとに小さな金のくびかざりを見つけて、おどり上ってよろこびました。,小野浩,金のくびかざり,0.5557
pd75fe20c435342e,亡父はなるほどと思って、浜辺の幽霊はおくらになってしまいました。,尾上梅幸,薄どろどろ,0.442
pdb57bc327b772ef,夜風が樹立をゆるがす音が伍一の耳に悲しい音を立てて鳴りはじめた。,尾崎士郎,菎蒻,0.7177
pd6e53527fe8dd49,分厚い手紙が、指先を放れて、窓障子の間からぱさりと音をたてて落ちました。,山下利三郎,流転,0.5489
pd7f76a016e15935,世間の眼にふれない場所を探し求めて、そこでひそかに語り、あそぶのである。,山之口貘,私の青年時代,0.5799
pd6179b1fdb621fb,砕ける波濤と海からの風のために、跫音が聞こえないのだろう。,山川方夫,一人ぼっちのプレゼント,0.7297
pd376f7986811574,表戸が突然細目に開いて、そこに覗う様な二つの眼が光って、声は表でした。,山本勝治,十姉妹,0.5612
pd487f771599f885,風が起こって、枯れた芒がさわさわと揺れたち、百舌鳥の声が遠くなった。,山本周五郎,薊,0.6263
pd93719236b56b3c,チャーミアンはもともとジャックのその様な面に共鳴していたのだから、しきりにその決行を慫慂した。,山本政喜,荒野の呼び声,0.5874
pda794b4f329366f,垣根に山茶花や菊などの咲いている静かな村もいくつか通った。,山本禾太郎,抱茗荷の説,0.7317
pdc342a4b577772d,さあそれと聞いてからは、子供心に気味が悪るくって、その晩などは遂に寝られなかった。,岡崎雪声,子供の霊,0.5167
pd4b6e209ab8a91f,陽はまぶしいほど山地に反射して、道端に咲くいちはつの花が鋭い白星のように見える。,岡本かの子,呼ばれし乙女,0.7328
pd405b591931e3e3,雨は幸いにやんだが、暗い夜であった。,岡本綺堂,半七捕物帳,0.7598
pd36b4d5286548cb,しかし前から下調をしておくような暇が無かったのだから、何事もその意で聞いて貰わなければならない。,岩村透,不吉の音と学士会院の鐘,0.5497
pdc6e8e50badee7c,さッと言っては押し寄せ、すッと静かに引きさがる浪の音が遠く聴えた。,岩野泡鳴,耽溺,0.7173
pd51055c56f1d350,戯曲界不振の声を聞くことすでに久しい。,岸田国士,戯曲復興の兆,0.5517
pd3828c60c7eff49,なんとなく鑿や槌の音の聞こえて来るような気もした。,島崎藤村,嵐,0.712
pd492b58b1c50717,いつもよりははげしい物音に私も思わず聴耳を立てた。,島木健作,黒猫,0.7028
pdb7d1d6529473f6,そとには私の好きな菜の花が咲いているだろうか。,島秋人,遺愛集,0.724
pd728200bba5b84d,私は私で結交うから、もうこのことは言わぬとしよう。,川上眉山,書記官,0.5438
pd56f9afba48777d,余りのなさけなさに涙が腹の中で雨の様に降った。,川田功,偽刑事,0.58
pd2aa6d072e97f08,】それから、ややしばらく口をつぐんでいてから、こうつけ加えた。,平井肇,外套,0.5774
pd6e5bd69a4e8e87,博士は聴衆の頭上に、満足の一瞥を投げながら、悠揚として語り出した。,平林初之輔,人造人間,0.6122
pdc68b1e5a92417f,朝顔の花の咲かない間は即ち渦をなしている。,幸田露伴,ねじくり博士,0.7018
pd746dbd5cbfbbe6,四季を阻みて、降る雨を止めむとする。,徳永保之助,愚かなるものよ,0.5302
pddf48ed82b1b6db,パラソルをみたときのように、家のなかへとびこみたい気がする。,徳永直,白い道,0.6107
pd905c133ad1b68c,外には春風が白い埃をあげて、土の乾いた庭の手洗い鉢の側に、斑入りの椿の花が咲いていた。,徳田秋声,爛,0.7185
pdbe6f9e3267d11a,しかるにそれが雨の晩で非常に暗かったため、寺男が道路へ出ない内に、芳一の姿は消え失せてしまった。,戸川明三,耳無芳一の話,0.5925
pd75ac57bb2b7e12,眼覚しの鳴ったことや、枕元をさえぎって動いた影や、お湯の沸る音も夢でのように覚えていた。,戸田豊子,歩む,0.5488
pdaf9083267f7092,其は今言ったような所にあるのではなく、もっともっと深いものを目指していたのである。,折口信夫,反省の文学源氏物語,0.6403
pddfe98077d202db,博士は急ぎ拾い上げ、鼻眼鏡を取り出して鼻にかけ、眉の間に皺を寄せながら熱心に読み始めた。,押川春浪,南極の怪事,0.4355
pdad9066ea2738fc,そいつを、耳にうまいぐあいにあてていると、音楽がきけるしかけになっているというのである。,新美南吉,嘘,0.6895
pd7eb76d64fc24c8,ただマルコをかわいがってくれるものは親方だけでした。,日本童話研究会,母を尋ねて三千里,0.5309
pd817bc676ba29f7,蚊のなく声だけが空気のささやきのようにかすかに聞こえていた。,有島武郎,カインの末裔,0.7423
pd7a31d65e96ee1a,安くて、それはそれなりに、筆のあともうるわしくたのしいのである。,服部之総,蓮月焼,0.499
pdbcaf24ccdf07cb,なんというあてもない、ただ自分は、むちゅうでそんなことをしていたのだ。,木内高音,くまと車掌,0.5876
pdf9b2d643fa0832,同盟会の一人は、さらに語を続けて述べていうよう。,木村小舟,太陽系統の滅亡,0.4143
pdd8523c58b46381,炉端でひそひそ話していた親達はやがてこっそり出て行った。,本庄陸男,とも喰い,0.6221
pdbc7e4ac31833a2,白装束のまんま、死んだ時の姿で、そうして庫裡へ上って来た。,本田親二,□本居士,0.4787
pd608b907d822a3b,やがて夕日は西の山にとっぷりと落ち込んで、あたりが冷たく薄暗くなった。,杉山萠円,白髪小僧,0.5901
pdf29bd4a0d5b715,どうか一丸となって、わが大正昭和の女流俳句を永遠に光輝あらしめたい。,杉田久女,桜花を詠める句,0.4223
pd1a2a8ea1bc06b1,雨戸は閉って四方は死のごとく静かである。,李光洙,愛か,0.5543
pda5b675403f4cd0,山腹は一面蕎麦の畑で、咲きはじめたばかりの白い花が、塩をふりかけたように月に噎せた。,李孝石,蕎麦の花の頃,0.6425
pd47bfaae0085471,空中には遠雷がとどろいていたが、いまはもうソヨとの風も吹いていなかつた。,村崎敏郎,とけない問題,0.6066
pd56e7b5219bebeb,おりおり、遠くの往来を走る自動車の音が聞こえてくるばかりである。,松本泰,謎の街,0.7734
pdfd341d0eaa164d,わたしはこの河の流れについて行くんです、その人がそう言うんだよ。,松村みね子,漁師,0.5679
pd2cc1d12d5e206c,声の終りの方は小鳥のそれのように顫えた。,松永延造,職工と微笑,0.6151
pdadceda39a87be9,樹々の梢に風が吹くのが、同じ高さに聞こえる。,林不忘,つづれ烏羽玉,0.7403
pdf711a0e239a3ad,くいなのような鳥の声が、ぎゃあと遠くに聞えているのも耳についていた。,林芙美子,河沙魚,0.7116
pd9624e8442c69d1,しかしその底にはやはり居士を俟たなければならぬものが横たわっている。,柴田宵曲,「俳諧大要」解説,0.5188
pd7e23e3904a37f8,耳をリュックに近づけ、俺はその啼声にじっと聞入っていた。,梅崎春生,蜆,0.655
pd6430dd3f0eb438,耳に鳴りはためく焔のような物音をききながら無暗にあるいていた。,梶井基次郎,小さき良心,0.7255
pdefa0e28acdaa8a,そしてそれが単に現代語でないからだというだけではないのでございます。,森林太郎,『新訳源氏物語』初版の序,0.5924
pd112b8025e6b35e,もちろん、そこに出ていようはずはない。,森田草平,四十八人目,0.6675
pd70c3e1f3301eb5,みたところ動いたとも位置を変えたとも思われないのに、巨人の姿がとつぜん部屋の中に立ったのである。,森郁夫,秘密礼拝式,0.5471
pde9bb7ce5b4df6c,どこか近くで鳴く蟋蟀の声が、笛の音にまじって聞こえる。,森鴎外,佐橋甚五郎,0.7433
pde8e1ec5f436315,後ろの声がだんだん遠くなると、上のポンプの音が高くなった。,楠山正雄,家なき子,0.7137
pd0d639390b60045,浜茄子の花の濃い紅色が、海の碧さを背景に点点と咲いている。,横光利一,夜の靴,0.7238
pd6dd9356116571c,何かはためいて、窓の外は底も知れず暗い。,橋本五郎,小曲,0.8039
pd3e9723fbf96086,そんな思いを胸一杯にたぎらせながら、私はそこに茫然と突っ立っていた。,橘外男,生不動,0.6514
pd65f01e2d247dd3,のんびりしたところが皆無で窮屈そうである。,正宗白鳥,武州公秘話,0.4849
pd7866ab4b8a9004,誠に振わぬ句であるけれど、その代り大疵もないように思うて、これに極めた。,正岡子規,句合の月,0.5362
pd581ce814763234,たちまち、大空いっぱいに、しだれ柳のごとく花開いた。,正岡容,円朝花火,0.5441
pde9ea912c949b40,そんな事に頓着なく、何の道楽も特別のぜいたくもしず、ただ金をためたのです。,水上滝太郎,遺産,0.5738
pd6a9ac60e572463,そんなこと、すこしも心配いらないんだよ。,水谷まさる,シンデレラ,0.5776
pd02ca3d03d515bf,まわりはしんとして、薄曇のした空の下に、水の流れる音も聞こえない。,水野葉舟,黄昏,0.7307
pdba1d4088e9f5e7,雨戸がしまったので午後から降出した雨の音は殆ど聞えなくなった。,永井荷風,春雨の夜,0.6748
